Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Maruti Swift VXI,Swift VXI,Maruti,2014,Petrol,"29,876",Manual,₹3.93 Lakh,Mumbai
Tata ALTROZ XZ PLUS PETROL,ALTROZ XZ PLUS PETROL,Tata,2021,Petrol,"13,348",Manual,₹7.44 Lakh,Mumbai
Tata NEXON XZ PETROL,NEXON XZ PETROL,Tata,2021,Petrol,"13,342",Manual,₹8.62 Lakh,Mumbai
Maruti Swift VXI,Swift VXI,Maruti,2014,Petrol,"53,120",Manual,₹3.71 Lakh,Mumbai
Maruti Wagon R 1.0 LXI CNG,Wagon R 1.0 LXI CNG,Maruti,2013,CNG,"80,601",Manual,₹2.79 Lakh,Mumbai
Hyundai VENUE SX 1.0 (O) TURBO,VENUE SX 1.0 (O) TURBO,Hyundai,2019,Petrol,"45,750",Manual,₹7.58 Lakh,Mumbai
Maruti Ciaz ZXI+ AT,Ciaz ZXI+ AT,Maruti,2016,Petrol,"90,742",Automatic,₹5.67 Lakh,Mumbai
Hyundai VENUE S 1.0 TURBO IMT,VENUE S 1.0 TURBO IMT,Hyundai,2021,Petrol,"49,880",Manual,₹8.27 Lakh,Mumbai
Volkswagen Polo HIGHLINE1.5L,Polo HIGHLINE1.5L,Volkswagen,2016,Diesel,"72,744",Manual,₹5.36 Lakh,Mumbai
Hyundai VENUE SX 1.0 TURBO,VENUE SX 1.0 TURBO,Hyundai,2019,Petrol,"34,899",Manual,₹8.52 Lakh,Mumbai
Renault Duster RXS OPT CVT,Duster RXS OPT CVT,Renault,2019,Petrol,"26,958",Automatic,₹7.56 Lakh,Mumbai
Honda City 1.5L I-VTEC SV CVT,City 1.5L I-VTEC SV CVT,Honda,2014,Petrol,"45,962",Automatic,₹4.93 Lakh,Mumbai
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2013,Petrol,"44,412",Manual,₹2.69 Lakh,Mumbai
Honda City 1.5L I-VTEC S MT,City 1.5L I-VTEC S MT,Honda,2015,Petrol,"79,079",Manual,₹4.22 Lakh,Mumbai
Renault TRIBER RXT,TRIBER RXT,Renault,2021,Petrol,"24,621",Manual,₹6.11 Lakh,Mumbai
Hyundai NEW SANTRO MAGNA CNG,NEW SANTRO MAGNA CNG,Hyundai,2018,CNG,"59,736",Manual,₹4.27 Lakh,Mumbai
Hyundai Elite i20 SPORTZ 1.2,Elite i20 SPORTZ 1.2,Hyundai,2014,Petrol,"60,702",Manual,₹4.11 Lakh,Mumbai
Maruti New Wagon-R VXI 1.2,New Wagon-R VXI 1.2,Maruti,2020,Petrol,"20,785",Manual,₹5.16 Lakh,Mumbai
Maruti Celerio VXI CNG,Celerio VXI CNG,Maruti,2019,CNG,"35,436",Manual,₹5.18 Lakh,Mumbai
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2017,Petrol,"34,793",Manual,₹3.79 Lakh,Mumbai
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2017,Petrol,"22,280",Manual,₹3.82 Lakh,Mumbai
Hyundai Elite i20 ASTA 1.2,Elite i20 ASTA 1.2,Hyundai,2016,Petrol,"46,613",Manual,₹5.04 Lakh,Mumbai
Tata NEXON XZA PLUS DIESEL KAZIRANGA,NEXON XZA PLUS DIESEL KAZIRANGA,Tata,2022,Diesel,"37,152",Automatic,₹12.15 Lakh,Mumbai
Hyundai Xcent BASE 1.2,Xcent BASE 1.2,Hyundai,2014,Petrol,"54,098",Manual,₹3.58 Lakh,Mumbai
