Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Maruti Swift VXI,Swift VXI,Maruti,2016,Petrol,"53,462",Manual,₹5.81 Lakh,Bangalore
Maruti S PRESSO VXI PLUS AMT,S PRESSO VXI PLUS AMT,Maruti,2020,Petrol,"18,106",Automatic,₹5.02 Lakh,Bangalore
Maruti New Wagon-R VXI 1.0 AMT,New Wagon-R VXI 1.0 AMT,Maruti,2019,Petrol,"30,598",Automatic,₹5.52 Lakh,Bangalore
Ford Ecosport TREND 1.5L DIESEL,Ecosport TREND 1.5L DIESEL,Ford,2013,Diesel,"79,454",Manual,₹4.73 Lakh,Bangalore
Honda Jazz 1.2L I-VTEC SV,Jazz 1.2L I-VTEC SV,Honda,2015,Petrol,"99,867",Manual,₹4.24 Lakh,Bangalore
Maruti Celerio VXI,Celerio VXI,Maruti,2015,Petrol,"46,241",Manual,₹3.77 Lakh,Bangalore
Toyota Innova Crysta 2.4 ZX 7 STR,Innova Crysta 2.4 ZX 7 STR,Toyota,2022,Diesel,"3,597",Manual,₹27.02 Lakh,Bangalore
Maruti Ertiga ZDI + SHVS,Ertiga ZDI + SHVS,Maruti,2016,Diesel,"81,649",Manual,₹7.76 Lakh,Bangalore
Hyundai Creta SX PLUS 1.6 PETROL,Creta SX PLUS 1.6 PETROL,Hyundai,2016,Petrol,"76,040",Manual,₹8.16 Lakh,Bangalore
Maruti Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Maruti,2017,Petrol,"33,972",Manual,₹5.97 Lakh,Bangalore
Renault TRIBER RXZ AMT,TRIBER RXZ AMT,Renault,2021,Petrol,"16,146",Automatic,₹7.08 Lakh,Bangalore
Honda City 1.5L I-VTEC VX,City 1.5L I-VTEC VX,Honda,2015,Petrol,"60,317",Manual,₹6.06 Lakh,Bangalore
Tata Tiago XT PETROL,Tiago XT PETROL,Tata,2017,Petrol,"67,872",Manual,₹4.02 Lakh,Bangalore
Renault Kwid RXL 1.0 AMT,Kwid RXL 1.0 AMT,Renault,2017,Petrol,"32,890",Automatic,₹3.52 Lakh,Bangalore
Maruti IGNIS ZETA 1.2,IGNIS ZETA 1.2,Maruti,2020,Petrol,"30,628",Manual,₹5.68 Lakh,Bangalore
Mahindra TUV300 T8,TUV300 T8,Mahindra,2016,Diesel,"38,328",Manual,₹5.96 Lakh,Bangalore
Ford Ecosport TITANIUM+ 1.5L DIESEL,Ecosport TITANIUM+ 1.5L DIESEL,Ford,2016,Diesel,"98,741",Manual,₹6.27 Lakh,Bangalore
Maruti Swift ZXI,Swift ZXI,Maruti,2013,Petrol,"30,359",Manual,₹4.75 Lakh,Bangalore
Tata TIGOR XZA PLUS PETROL,TIGOR XZA PLUS PETROL,Tata,2020,Petrol,"33,984",Automatic,₹7.03 Lakh,Bangalore
Hyundai Verna 1.4 EX PETROL,Verna 1.4 EX PETROL,Hyundai,2018,Petrol,"70,838",Manual,₹7.06 Lakh,Bangalore
Maruti Ciaz ALPHA  AT 1.5 SHVS PETROL,Ciaz ALPHA  AT 1.5 SHVS PETROL,Maruti,2020,Petrol,"12,867",Automatic,₹9.80 Lakh,Bangalore
Hyundai Elite i20 ERA 1.2,Elite i20 ERA 1.2,Hyundai,2017,Petrol,"10,914",Manual,₹5.69 Lakh,Bangalore
Tata Harrier XM 2.0L KRYOTEC,Harrier XM 2.0L KRYOTEC,Tata,2021,Diesel,"46,225",Manual,₹13.75 Lakh,Bangalore
Maruti Baleno DELTA CVT PETROL 1.2,Baleno DELTA CVT PETROL 1.2,Maruti,2017,Petrol,"39,585",Automatic,₹5.85 Lakh,Bangalore
Maruti Celerio ZXI AMT (O),Celerio ZXI AMT (O),Maruti,2017,Petrol,"30,660",Automatic,₹4.69 Lakh,Bangalore
Hyundai i20 MAGNA (O) 1.4 CRDI,i20 MAGNA (O) 1.4 CRDI,Hyundai,2013,Diesel,"94,514",Manual,₹3.60 Lakh,Bangalore
Datsun Redi Go T(O) 1.0,Redi Go T(O) 1.0,Datsun,2019,Petrol,"15,881",Manual,₹2.73 Lakh,Bangalore
Honda Brio S MT,Brio S MT,Honda,2013,Petrol,"31,104",Manual,₹3.27 Lakh,Bangalore
Tata Tiago XZ PETROL,Tiago XZ PETROL,Tata,2016,Petrol,"86,716",Manual,₹3.96 Lakh,Bangalore
Hyundai Creta SX (O) AT 1.5 DIESEL,Creta SX (O) AT 1.5 DIESEL,Hyundai,2022,Diesel,"27,509",Automatic,₹18.46 Lakh,Bangalore
Honda Amaze 1.2L I-VTEC V,Amaze 1.2L I-VTEC V,Honda,2019,Petrol,"22,419",Manual,₹6.40 Lakh,Bangalore
Hyundai i10 SPORTZ 1.2 AT,i10 SPORTZ 1.2 AT,Hyundai,2012,Petrol,"38,261",Automatic,₹3.25 Lakh,Bangalore
Tata Zest XMS PETROL,Zest XMS PETROL,Tata,2015,Petrol,"75,916",Manual,₹3.72 Lakh,Bangalore
